Name,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional range
RahulBilve8,403.15950270607,502.60948471836156,161.84289376811006,796.5689698611209,191.60191205015914
ProjectSeestra,971.3750224487999,38.75073405570922,121.118720334226,118.95500315174212,158.22733612794926
DanielNewman,655.4455181704529,488.9482388443959,920.505471196553,946.7004456066787,331.1099869153938
barrysilbert,834.0582551386149,534.7800063466399,483.07836276235713,203.61137290879782,775.0813843689983
Survivor_AU,629.2639967382867,741.7726038542438,420.088913551817,360.69067389876284,651.7577628194394
bisiadjapon,872.8328964844744,622.7835287479535,622.4297781175886,847.3942422145412,201.52833993868703
SEC_Careers,590.5445768848588,691.9536469203665,678.8287359739767,468.37883190326534,893.0528192362411
tarak9999,773.7827425371046,940.5499026280912,788.9462042565547,948.1022562983445,759.0472345609729
Nidhi,572.16201701079,727.884018359352,228.74102680019337,600.093135455003,383.35576937791825
BeingSalmanKhan,140.67468573214998,278.1986459490999,91.80406322789314,390.8445971314636,48.204554433986466
imVkohli,578.5888939612926,945.0010321366849,588.4048739350104,644.9875949479681,837.5763966756082
aliabbaszafar,385.89001388136865,515.6026146844233,136.11062883900388,548.7045418680802,78.56438222190448
AltNews,800.6159386164866,395.0599259492705,469.21505936972403,277.7650331994197,519.6017902707551
vijaymilton,209.36608020949498,354.3691676898011,65.62720412384488,454.8964186954144,97.83530976620891
mrtesslynch,879.4238533343911,58.287163570143406,241.75401219225157,58.193717241439956,228.65978076029532
ShashiTharoor,858.6489214053277,743.105800070227,316.15962944427423,296.7321775627562,641.1592869523097
PJukalker,899.4428644410373,444.31104415918526,768.9668586315127,879.5683271394701,103.50001847453599
PTI_News,815.801177713407,839.4189642562988,634.2675571285353,436.2419363356984,609.558582537827
Cristiano,82.50537349582432,745.1009488779913,665.2908346481163,390.03154810893903,565.6788391315023
vinodkambli349,598.7665528927885,752.5564325660678,181.57247289402468,524.9489132609091,642.5048000857103
actorvijay,473.9294068717771,489.8063022913644,5.404478809335145,218.88607263473014,211.5074289863168
ShaaileshRSingh,660.9533402946626,333.87645873409855,16.10526926081679,271.1536898475671,49.062101600218675
AkashVOnline,126.27299597141989,755.1304177290648,1.4742408998654755,385.6431187765719,204.0022708352623
buffer,855.1597948949317,798.3326498170446,841.9021807394064,853.6889314365675,864.3187469757436
HISTORY,909.2180083176338,846.3395210064442,296.5126364915036,69.50454232222248,899.1329614462397
monishaadvani,501.4136826461574,809.88903754267,555.2197682894832,979.0025787559154,432.26791804392906
Sanakhan_m,640.7884959955572,408.1972262741299,142.95829201290468,200.3781540699961,351.4208477665868
EBONYMag,991.2034567501556,733.6736167435109,819.7844152689463,524.9000828391455,828.157340761104
K_Cullerton,926.2554771301775,684.6038079081732,598.7342704731523,201.5270322593782,498.79376795443216
EVACASH_TOKEN,404.63797404767223,924.5692124686257,288.25406447733803,440.275795674722,829.5542313703938
PulkitSamrat,337.012225204613,422.9532682160485,184.7008233431861,455.84912974676024,213.3398940236842
KTRTRS,634.3768734545628,861.5235101175402,520.0194620463426,806.6671594646212,585.1635850255095
MirchiSayema,281.77735174812454,352.06992411446726,47.79177853259209,905.5580873490471,132.48366064937477
yadavtejashwi,462.757548976782,562.6555137122524,34.31070147833598,488.63023548465833,175.14687264854228
Cymru,195.91420859969688,398.4889333465487,25.90146668691762,22.27315320825962,330.70826795975347
PremChauhanOfc,87.85177396608884,520.9964173491836,15.296085183506724,390.6300596229302,70.18706944367908
TiwariNivedita,906.8356743507244,292.0161487268357,50.10418898954016,177.68300592424885,254.4385778017677
BigRigBaloo,171.60389794208115,546.5456031727525,196.06417283311134,373.8585986364587,491.91665059996
atiqaodho2009,674.8860765104673,804.053768707679,555.1549258899877,788.8297683683084,345.324574052954
airnews_shi,281.01076062507406,433.334690369215,420.8317882923263,459.7634163722842,547.0493968995806
KendallJenner,632.422983728362,799.2466105485001,634.6278631264495,795.708061516447,416.5020886991749
ncbn,937.1885565777704,924.3052228467044,313.6754265377999,281.01772536540494,693.125175755112
MadhuriDixit,105.23545779716353,862.5492206437264,953.8610134209622,998.9338408020312,812.150579283359
vickykaushal09,423.46875116179876,726.8284581871291,520.5453976120309,949.6845532125819,405.76767356931055
playersvoice,782.3363104795886,252.8254051478409,158.4834567098626,74.69203246312411,503.78883364643303
anirudhofficial,409.4331589052101,807.5978599878408,133.56774029418318,590.893729888392,371.04565128845405
NissanUK,742.6271993840861,986.9907572642601,877.5015443617584,949.5960802910292,968.0972784438057
Geethak_MP,783.6251441135977,971.0028148693943,599.1543928413436,750.4591891737692,824.9208676558171
theRohitBansal,729.0788801557202,757.9189976686603,107.22474091153522,396.1734472871019,486.09549905159713
Jagadishbliss,277.6511217882705,653.4176436307376,84.33113737690678,741.6253491651735,227.14989871187075
ProgressBar201X,923.9284925401805,222.19615043639502,356.0432247592119,273.46743252431713,368.432236679993
aisfm,801.3988647122095,807.7417034102796,340.1814189192644,188.4396513231591,659.425364053174
IPL,146.0963647498558,725.31951383888,8.204224135355986,33.430444697846006,401.1885850055841
Sushant_Kaushal,458.89589158798384,405.2817337357754,126.8636112547773,430.91809757607047,239.19659421685452
seemantlohani,88.14589700991327,672.0420502322678,178.5812304900153,431.9743993673401,303.23269796483595
SadhguruJV,987.2829304570421,715.7505488872868,202.18815970288966,60.69382251062449,645.9322451161905
pranitasubhash,401.09740040773517,735.7761727654656,313.16666457562314,879.5338235079605,331.8634891840004
dikshamadhok,837.5003133717969,688.2226513918866,550.1903938213369,167.93585235943996,743.8287022561517
BBCHARDtalk,805.5239543930753,668.0742213078717,603.14159407802,584.7544345883191,465.9348699980466
riteshagar,604.9238457870131,811.9728747122919,743.3694923088724,675.2749659350281,716.0256735925368
MSDESkillIndia,267.72426190022975,642.3977283803229,18.37853209525553,212.21775126258814,317.8008603687424
thevirdas,604.4081170822358,340.9436508726279,334.0795279733518,599.6533341803796,317.7634679810926
SunidhiChauhan5,298.61285950397263,529.4122946322764,267.06937020344714,898.137874286487,167.5266741234891
Andrew007Uk,463.9227441368673,68.37704674340078,512.50253561403,462.5335883376164,26.387405614451964
RatnakarShetty6,532.3589204108081,810.5576975939457,145.49004054586783,86.48655932008647,750.4637859140292
Manavkaul19,845.9028373623701,672.1347144386666,21.026979426333636,670.1892123127374,129.60669904782586
DouglasABaker2,166.70939514010118,614.6375275011038,16.284685282838606,162.6051293548539,218.41413443838564
CrankyPancreas,683.0518863422203,111.140980906076,133.05761022565326,262.7943471861842,128.0757553740403
SwachhBharatGov,898.7102479150751,315.56230550949925,211.56407732777444,40.59301643781688,618.3012011316785
SEC_Enforcement,943.3915487990866,859.2382382471167,970.2740553775467,581.4299630437761,964.1609312714575
airnewsalerts,681.0175073741518,754.5335389235737,399.1517956532585,259.93025453214193,549.1466597287201
JoyceMeyer,849.919415592043,983.8316270443248,882.8242099182131,996.596543270061,888.9208357150139
shahidkapoor,515.8952569088879,661.9023016323359,424.17839597802055,809.246252826501,312.09834281561723
alluarjun,423.2278311622678,848.2055395374562,521.6615349207804,924.6893938358438,603.2853327022729
klrahul11,335.3884582999536,927.2898739675621,829.9557061599907,974.8482755040684,733.8453402389277
piselli44,494.8416498729456,120.00504149537217,463.8522112472224,491.72097066394,88.15201013518164
NameisNani,376.6447048422522,867.9523819925504,383.53464371111477,965.6864005567071,483.33996484540603
WIRED,970.195859132014,632.2089128972488,251.6523221367199,10.738590325183651,874.5864991044128
DrManjula_A,712.3252626557891,568.611170342353,254.9557614391591,720.5463357094358,260.2496295178179
NewYork_SEC,834.6484836328652,776.1023581998069,942.7300878894083,330.9573784511073,975.1982608850373
kanhaiyakumar,708.2951662683625,595.6934255018483,74.46687570945166,332.0710245197049,275.9568536908951
JustinThomas34,524.7326134700987,619.5602972510732,531.0754705309521,520.6712022680089,685.1168042289555
nickschifrin,953.7692205062815,938.3333415312558,551.0079034202706,407.40347252155027,842.2033019060074
